,text
10,skillsinternet things thinkingprofessional ethicslanguageshindi thinkingproduct honortoken honoribadulla baigintern program foundationhyderabadsummaryexperienced internet things engineer demonstratedhistory working education management skilledin design strongengineering professional bachelor technology focused oninstrumentation vnr vignanajyothi institute engineering hyderabadinternjune present gachibowliidealabs futuretech venturesiot engineerjanuary june year indiaganapathi sugar industry private limitedganapathi sugar industry private limitedmay november indiaeducationvnr vignanajyothi institute engineering technologybachelor instrumentation applied electornics instrumentation page
11,skillsscreeningonboardingcore javapraveen polimatimanager recruitment amazonhyderabadexperienceamazonmanager recruitingjune present year technology june year leadership hiring america infotech recruitmentsnovember december year bosch mgmt consultants hrmay october hr marketing degree computers vizag page
12,developmentmanagementnikhil dhuperbusiness development intern codevector labs ai solutionswest delhisummarya passionate trying break potential barrier labs ai solutionsbusiness development internaugust present college engineeringbachelor technology engineering physics withmajor electronics public schoolhigh school diploma page
13,skillsjavascriptproject managementweb applicationslanguagesenglish structures algorithmsessential guide stevie winnerschool whizkid medalschool whizkid medaltejas jaggisoftware engineer cisco scoremorebengalurusummaryhaving completed computer science along witha minor business management manipal institute currently working software engineerat cisco engineering supply short stint hid global worked completed industrial training area productdevelopment physical access control systems worked capacity organising committee vicepresident aiesec manipal university annual also held position business developmentmanager year monthssoftware engineer ijuly present year men inclusion present engineering internjanuary june indiascore morefounderjune present institute technology page computer science engineeringaugust august year karnatakaquantum part hid globalproduct development internmay july indiaaiesecorganising committee vice president business developmentoctober october indiaeducationmanipal institute technologybachelor technology computer science minor businessmanagement new delhihigh pcm economics page
14,skillsbusiness strategymonetizationanalyticsamit ceo yulu vision reduce traffic congestion providing efficient clean solution first last andshort distance strongly believe short commutemode made affordable therebyensuring future generation healthy environment want replace big personal vehicle smaller formfactor require fossil using iot technology create vast network shared wheeler rented easily appin pay per use business companybased india solid founding team big yulu want solve problem traffic positively impact society shape new india ourfuture ceonovember present year vision reduce traffic congestion providing clean solution first last short strongly believe short commute mode made affordable thereby ensuring future generation willhave healthy environment want replace big personal vehicleswith smaller form factor require fossil using iot technology create vast network shared docklessbicycles rented easily app pay per usebusiness company based india asolid founding team big yulu believe every day page mission success exciting attained fun ifyou want solve problem traffic reduce positivelyimpact conversation partner journey shapea new india future year present year president oem telco solutionsapril november year francisco bay area beijing built glance content platformin led deeper partnership samsung xiaomi get anunprecedented incubated another business unit monetize telcos unit laterbecame trufactor acquisition pinsight mediafrom sprint founder president north americaapril september year establishing position one top leader withinmobile advertising space north building world class team andculture take inmobi next enables consumer discover amazing product revolutionary discovery brand engage mobile consumer recognized bymit technology review one disruptive companies inmobi enables billion discovery session mobile across abillion user every becoming largest discovery platform learn visit follow u twitter ordiscover latest mobile insight chief revenue officerjanuary march year page responsible overall revenue holistic growth inmobi widenits reach increased depth many market globally including usand western head business developmentdecember december year one fastest growing global mobile advertising deliversthe best result partner intelligent mobile advanced technology enables advertiser discover theirtarget audience mobile internet site measurable publisherscan leverage capability serve contextual ad user increasing value mobile vast reachcoupled precision mobile medium provides optimal platformfor advertiser publisher take advantage mobile advertising sector advertising industry geared upto provide edge traditional advertising ability categorize audience serve relevant themeasurability effectiveness advantage thisrealm recognizing potential conceptualized team young entrepreneur grownin leap bound since entering new international mkhojwas rebranded reinforce simplify business offering aswell symbolize long term goal intelligent globalmobile advertising inception mission provide businessmodel technology help development mobile internetecosystem extended family includes kleiner perkins byers sherpalo ventures mumbai partnership opportunity contact amit inmobi dot marketing associationglobal board memberapril october year mma leading global trade mobile marketingassociation comprised member nearly page fifty country around mission accelerate thetransformation innovation marketing driving businessgrowth closer stronger consumer anchoring mission four core cultivate inspirationby driving innovation chief marketing build mobilemarketing capability marketing organization champion effectiveness impact ofmobile research providing tangible roi mma committee work collaboratively developand advocate global best practice lead standard board advisormay december year mission help company realizing power businessintelligence improve business studio business strategyjuly june indiaassistant managerapril july year engineeraugust march year business schoolexecutive program kanpurb mechanical engg may page page
15,skillspythonamazon web services arwapallyresearch development manager iot research labshyderabadsummaryi person passionate foss even attendnumerous also conduct knowfacts epic even experiment latest research year monthsresearch development managerjuly present iot engineerjuly june hyderabadidealabs futuretech venturesiot engineerdecember june hyderabaduptec idealabs indiaembedded engineermarch november year indiaoctagon electronicsinterndecember february engineering college page bachelor technology ece chaitanya junior mpc mathematics model high mathematics page
16,managementmarketing strategylanguagesenglish journalist yearnasscom ecosystem evangelistaward paris femina online influenceawardfortune promising entrepreneur indiaawardshradha sharmafounder ceo yourstory mediaindiasummarypeople extraordinary believe founded yourstory aim ofchampioning untold story entrepreneurship thesubsequent year high every new entrepreneur profileand every new story feel blessed able contributeand help shape exciting new era strongly believe story power connectand inspire people curiousabout story people live one notinterested world considers tell story character itis want making story matter tryto every single year incubated narrative prior mainstream medium experience cnbc andtimes india give understanding medium work rely learning toeveryday improve channelize better professionaland create business make difference real andbasic mediafounder ceoseptember present media leading online medium venture entrepreneursand flagship property told story entrepreneur reach page million engaged reader every yourstory tell story presidentjune july year times indiabrand advisorjanuary june year design management history modern india page
17,skillsartificial intelligence cancer detectiondigital smile designpublicationsdentist upcomingera aerospace dentistryinnovations prize paperpresentationassessment practice among dentistof dentist passionate artificial intelligence spearhead part time science writer dentistjanuary present year west bengaldental clinicdentistjune present year indiaeducationbapuji dental college bds page
18,skillsanalyticspredictive analyticspredictive modelingpublicationscommerce system method oflearning consumer behavior basedon prior current transactionsdynamic decision support forregional ltl carrierspatentssystem method transactionlog cleansing aggregationcommerce system method oflearning consumer behavior basedon prior current transactionssystem method modelforecasting based supply anddemandprashant warierco founder ceo expert field artificial intelligence anddeep architected commercialized severaldata science solution year also speaker topic related data scienceand machine passionate using deep learning tomake healthcare affordable founder ceojanuary present year indiamaking healthcare accessible affordable using deep use deep learning interpret ct mris andcreate automated diagnostic help radiologist make fasterand accurate decision developed country provide automatedradiology support physician rural radiologist typicallynot analyticschief data scientistoctober january indiaevangelize artificial intelligence machine build datascience team help fortune client adopt data science within ceonovember october indiaimagna help company target customer better powerof artificial adpersonix platform help page company unify multiple data source mobile createa single profile context combination advancedmachine learning customer profile context beused market customer individually using perfectly tailored displayadvertising personalized sms app imagna acquired fractal analytics oct year monthsvice presidentjune july retail practice contributed architecture development ofcustomer genomics systematic experimentation optimization services solution developmentfebruary july year retail client portfolio solution development responsible development technologyfor labeling customer various customer dna attribute based upon alearning algorithm run past transaction customer dna profile used target individual customer andgive customized email offer sapsenior research scientistfebruary april year developed delivered data science solution retailand consumer packaged contributed towards building team ofdata science leader across developed andimplemented markdown optimization solution developed solution demand key value item analysisand assortment rationalization among georgia techdoctoral student graduate research assistantaugust december year solution optimize linehaul operation trucking optimization technique focused three major area freight routing page specific shipment optimally routed origin destinationin large trucking load planning strategy forpacking shipment truckloads achieve maximum fill driverassignment assigning driver dot specified personalconstraints scientist internmay august institute technologycertificate engineering institute industrial systems engineering institute technologymaster science operations research institute delhib manufacturing science engineering page
19,skillssoftware developmentdatabasesoraclelanguagesenglishpatentsprocessing record databaseapplying distinct operator botheven uneven database recordssanket atalmanaging director year experience software development enterprisesoftware oracle ca working us india withgeographicaly distributed execution focused experiencein business enterprise research program bs cs ms indiamanaging directormay present year indiaoraclegroup vice presidentoctober april year technical officerjune august year indiaresponsible technology including hosting infrastructure softwaredevelopment largest online travel agency billion helped acquire integrate company completely revamped development processwith agile introduced accountability project roi trackingand transparency using dashboards redesigned ui beresponsive function built team create page native application android created bi solution leverage bigdata power business decision created automationsolutions improve operational excellence call technologiessvp india technology centerjune june year hyderabad shepherded growth center witha third software development done hyderabad significantproducts completely produced became largest center worked closely business betterserve corporationvice india development centerjanuary june year usa indiaworked various level server technology organization india responsibility people across workedextensively us mgmt developing implementing organization widestrategic usa portland development center grew office managed three software development two oregon andone team work towards foundational well oracle http server coordinated development across team located various part ofthe world redwood worked extensively product management analyze customerrequirements make product implementation page informix development leadjanuary january year corporation one top rdbms company part one key helped grow office one engineer informix transitioning itfrom dbms one used large corporation like revenue increased hundred million us dollar billion architect sql query optimizer filed two patent lead team engineer test parallel database worked various customer devise migration strategy systemin order best leverage new involved discussion onthe choice well strategy harness feature thenew wrote paper various industry academic publication gave talksat international computer engineerseptember january year computers leading parallel computer used large corporation run database managementsystems since acquired joint development project informix software towardsmaking informix dbms work parallel thisinvolved informix project customers included page university business administration june computer science june computer science mathematics june school bangkok page
20,skillsbusiness developmentproduct marketingvendor managementnikhil aroramanaging director vice operations business scale emerging corporate mergers market entry strategic innovation business developmentexperiencegodaddymanaging director vice godaddyjune present year institute art designadvisor board memberaugust present year indian institute art design collaboration london offer education interior architecture communication design nurturecreative talent entrepreneurssuper seven cricket federation indiaadvisor board memberjune present year promote develop game cricket men woman grassroutes level sport cricket time reinvents latestbeing super seven cricket federation india weworkhead asia australia india country headapril july year new york city hong kong indiawework american company provides shared service startup founded headquartered new york create world people work make page wework transforms building collaborative share get inspiration wework membersand community team virtually see ourmembers full idea help business president managing directorseptember september year indiaresponsible charting strategy india become operatingsystem behind small business launched flagship businessand financial management software today intuit quickbooks leading cloud implementing business partnership capitalising mobile globalmarket laureate international universitiesvice president country august network online university country offer undergraduate graduate degree program onemillion student laureate largest global network higher education student part community span asia themiddle institutions offer doctoral degreeprograms field business medical information communication hospitality strategy business product comprehensive global provider human capitalmanagement solution unite tax andbenefits leader business outsourcing compliance adp dealer service provides integrated technology solution toover recreational vehicle heavyequipment dealer throughout page delphi corporationcorporate mergers automotive company integrates greenerand connected solution automotive sectorosc world bankconsultant education automotive sector russia business development russian central regionalfinancial consultingcbs television televisoion westinghouse broadcasting alsoknown group broadcasting division westinghouse owned several radio television station across unitedstates distributed television show syndicationmiramax filmsmarketing analystjanuary january year new yorkeducationthunderbird school global managementmba marketing state university moscow auto russian page
21,skillsmanagement consultingstrategyconsultingsonal fittrnew delhisummaryi left career strategy operations management consultant topursue passion present year delhi indiaas someone several year experience management understand challenge demanding workload need formaintaining personal mission help individual find balance realise true potential happy andmentally physically strategy operationsaugust august year united kingdommanagement strategy opslse public policy group uk deptconsultantoctober january audit officeinternjuly october policy centre inclusive growth brazilinternjuly september page aga khan health canadian development agency indiaproject assistantaugust april london school economics political science public economic policy university british international relations economy page
22,skillsc things systemsmansi awasthistudent shri vaishnav vidyapeeth indoreindoresummaryan electronic engineer making love learn new competent c constantly looking greatopportunities showcase enthusiastic determinedindividual always striving vaishnav vidyapeeth indorebachelor technology electronics communicationsengineering pcm page
23,skillsc kemkarstudent delhi technological universitydelhisummarylearner experiencescholarship tracksocial media managerjuly present learn inspire mentor team memberjuly present technological university technology information technology prathiba vikas vidyalaya rohini delhiscience page
24,skillscmatlabmicrosoft officepranay racharesourcepreneur hbr ascend select asci post graduatemanagement student administrative staff college indiahyderabadsummarypranay racha optimistic experience working intalent currently pursuing pgdm administrative staff college ofindia specialization includes hr microsoft public strong business developmentprofessional bachelor technology focused inelectronic communications engineering technology fromjntuh college engineering setup innovation entrepreneurshipcell organized various event fests talk heygrad global opportunity platform interest business product message looking staff college indiapostgraduate student page august present year indiatmts true talent technology companytalent executiveseptember february mostly worked like us green excellent knowledge job portal search like career hands experience working vms portal worked permanent hiring executiveseptember february operationsaugust february year indiahandling complete operation college varadhivolunteerjune march year july indiarise venturecampus ambassadoroctober december staff college indiapgdm page jntuh college engineering hyderabadbachelor technology electronic communicationsengineering technology page
25,skillsanalyticspredictive analyticspredictive modelingpublicationscommerce system method oflearning consumer behavior basedon prior current transactionsdynamic decision support forregional ltl carrierspatentssystem method transactionlog cleansing aggregationcommerce system method oflearning consumer behavior basedon prior current transactionssystem method modelforecasting based supply anddemandprashant warierco founder ceo expert field artificial intelligence anddeep architected commercialized severaldata science solution year also speaker topic related data scienceand machine passionate using deep learning tomake healthcare affordable founder ceojanuary present year indiamaking healthcare accessible affordable using deep use deep learning interpret ct mris andcreate automated diagnostic help radiologist make fasterand accurate decision developed country provide automatedradiology support physician rural radiologist typicallynot analyticschief data scientistoctober january indiaevangelize artificial intelligence machine build datascience team help fortune client adopt data science within ceonovember october indiaimagna help company target customer better powerof artificial adpersonix platform help page company unify multiple data source mobile createa single profile context combination advancedmachine learning customer profile context beused market customer individually using perfectly tailored displayadvertising personalized sms app imagna acquired fractal analytics oct year monthsvice presidentjune july retail practice contributed architecture development ofcustomer genomics systematic experimentation optimization services solution developmentfebruary july year retail client portfolio solution development responsible development technologyfor labeling customer various customer dna attribute based upon alearning algorithm run past transaction customer dna profile used target individual customer andgive customized email offer sapsenior research scientistfebruary april year developed delivered data science solution retailand consumer packaged contributed towards building team ofdata science leader across developed andimplemented markdown optimization solution developed solution demand key value item analysisand assortment rationalization among georgia techdoctoral student graduate research assistantaugust december year solution optimize linehaul operation trucking optimization technique focused three major area freight routing page specific shipment optimally routed origin destinationin large trucking load planning strategy forpacking shipment truckloads achieve maximum fill driverassignment assigning driver dot specified personalconstraints scientist internmay august institute technologycertificate engineering institute industrial systems engineering institute technologymaster science operations research institute delhib manufacturing science engineering page
26,favorite award srinivas pasupulatitalent advisor talent acquisition amazon linkedin recruiting professional strives hire best mind withright fit top tech someone love data toolsby raising bar wowing stakeholder extremelycompetitive recruiting art science like finding theelusive piece jigsaw time year experience talent talent managementand business process management primarily executive design implementation talentacquisition strategy solution technology highvalue high volume hiringdomains worked acquisition amazon development centre present year software development engineer ii excellent data hld lld minimum year ifinterested please send talent acquisitionmarch november year page mediamint online medium company provides global servicesto multiple country area product strategy productdevelopment operational support across variety functional area forweb ad video andmobile ad electronic artstalent talent eaapril march arts headquartered redwood leading interactive entertainment software founded company distributes interactive softwareworldwide video game personal cellular handsetsand electronic arts market product four brand ea sports infiscal ea posted gaap net revenue billion titlesthat sold one million homepage online game siteis information product full text pressreleases found internet recruitment specialistmay march global services global delivery arm microsoftconsulting global services team one fastest since establishment early coredelivery engine delivering complex customer solution across variousmicrosoft microsoft services organization focus buildingleading edge product specific industry successful handling crm axapta profile mgsi biz apps andworked bi ibm companyrecruitment specialistdecember april year operations center responsible working clients directly responsible demonstrate ability page research various industry geographic location using variety kenexa role recruitment specialistfebruary july executive building sourcing full cycle recruitment india people metropolitan cities verizon business incorporatedproject kenexa role recruitermarch january year part operational recruiter responsible tocontact requisite number candidate assure engagement success andinvolved direct sourcing candidate assigned working withthe client recruiter close candidate external kenexa role sourcing specialistjanuary march year visionary technology leader creates innovative software tohelp individual organization realize full sourced candidate using job board database tracked logged candidate workflow applicant prepared report candidate data mysuperiors participated bimonthly meeting microsoftemployees ad hoc responsibility requested staffing involved iso audit page educationsikkim manipal university medical human resources agricultural information technology hrm computer science page
27,skillspython sciencejavacertificationscertificate completion sqlcertificate completion datascience pythoncertificate completion javatutorial courseknockdown lockdown careeredgecertificate completion vermamicrosoft azure machine learning scholar learning internnew delhisummarypursuing bachelor computer science guru gobind singhindraprastha java programming language experience java made manyprojects internship language python machine learning forward work organization provides theopportunity improve skill knowledge grow along withthe organizationexperiencecoding ninjas indiacampus ambassadoraugust present azure ml scholarjuly present code delhivolunteerjune present workshop machine learning social good seriestechexplicamachine learning internmay august indiaeducation page guru gobind singh indraprastha universitybachelor computer computer science field public school pcm field public school page
28,skillscore memberpublicationsmobile phone programmingmobile phone programming usingjava persistentmessaging systemneuro symbolic networkgeneration executionsystemsaurabh jainvice paytmcentralsummarysaurabh vice president heading buildfor program also active role startup social impact education trainingwithin saurabh also manages relationship variousindustry body including jain also founder labsbelieves motto education open open education labs pioneeringresearch transmedia maker education chartered accountant keen interest authored book mobile application hewrote phone first book onmobile app book published wasa technical book inventor personal persistent messagingsystem neuro symbolic networkgeneration execution system gotprovisional speaker following place sxsw sxsw edu blackberry jam europe blackberry jam asia hong major startup event government programs nasscom ficci unesco mgiep tech education iit iit roorkee iit iim iim iim iim rohtak andiim kashipur page srcc many others delhi srm lot institution andconferenceshe charter member software developer beenawarded following title past also selected social saurabh avid reader hasread book last year monthsvice presidentjune present year indiaheading csr initiativesheading paytm build india initiativehead build present year delhi indiawe require everybody lifelong learner digital currenteducation system unfortunately achieve devoting mylife help turn everyone lifelong like thank vijay shekhar paytm giving mean opportunity achieve goal build labsfounderseptember present delhi labs open education believe educationopen pressmentorfebruary present year page new delhi indiamentoring editorial tech team delhi press digitaltechnology mobile technologies private ltddirectoroctober present year craftslide suite mobile game appsfounder openclass community mobile app developersskj technologies unit swatantar associates pvt september year technologies unit swatantar associates pvt one firstcompanies india venture mobile game application developmentway back company direct supplier mobile game reliancecommunications ltd direct supplier mobile game mobilevas content tata teleservices ltd tata teleservices company also supplied game many large name company also active area java august offshore web development companywith strong expertise firmit solution ranging simple across broadspectrum technology diverse helped set mobile game application taught skill mobile game development java also helpedthem market game application initial page institute chartered accountants tax laws information technology commerce schoolprimary high school schooling page
29,skillsc c sonaliparticipant hack currently pursuing undergrad passionate towardslearning new experiencehakincodesparticipant present monthsinternshala training captainjune august indiainternshala student partner june indiaexodia iit mandicampus ambassadorfebruary july spokesperson college annual technical cultural festof iit iit guwahatitechrepfebruary june indiathe annual techno management dtu page campus ambassadorfebruary june indiapromote annual technical fest delhi technical university engineering olympiadcampus coordinatorapril april indian institute technology kanpurcampus ambassadorfebruary april largest technical entrepreneul narayanamma institute technology sciencebachelor technology electronics telematicsengineering page
30,structuresalgorithmslanguagespunjabi web developmenthtml css javascript universityof california linux absolute beginners fundamental digital marketandroid app development alpha microsoft learn learn studentambassador singhswe intern ls app developer full ar vr enthusiastkanpur nagarsummarycurrently pursuing information technology engineering gurunanak dev engineering proficient programming language datastructure algorithm full stack developer html css javascript firebase mysql android developer flutter operating system linux windowshe enthusiast virtual reality augmented year teaching experience teaching chemistry mathematicsand coding year experiencelondon consulting group engineer internaugust present uplift projectpartcipant uplift project html css javascriptmay july uplift project using html css nanak dev engineering ludhiana page bachelor technology information technology padampat singhania education science x xii page
31,skillsflutterandroid developmentblockchaincertificationscommunication skillsbuilding modern insider threatprogramblockchain essence cybersecurity practices forindustrial control systemsblockchain basics jaya prakash veldandamobile application developer caremonitorhyderabadsummaryapplication developer demonstrated history working thecomputer software skilled mobile application working blockchain machine application developerjuly present indiadcyborg indiainternjanuary present application developerseptember march indiamigrocer services pvt ltdsoftware engineer traineejune november india page
32,skillsteam managementbusiness strategybusiness developmentcertificationsfinalist global studententrepreneur awards runners innovation challengerunners university startupworldcup times leader tomorrowawardpublicationsxencom auto irrigation systempriyanjit ghoshour vision provide affordable ai allhyderabadsummarypriyanjit business head codevector anartificial intelligence based product service company aimsto help smes large enterprise implement ai theirworkflowhe also award winning ai platform toperform diagnosis democratizing way rapidclinical ai model madehe also consults government agency help strategize aiprojects key skill area business ai consultingexperiencecodevector labs ai present year indiacodevector provides artificial intelligence solution service smes andtechnology since helped several company rightfrom startup idea stage fully funded startup hard work may present year indiaartificial intelligence healthcare diagnostics worked inassociations state government chhattisgarh kerala earlytrials implementation page tamil nadu agencyai consultant business analystaugust present tamil nadu present year started initiative create community young studententrepreneurs belief mentor passionate young people whowants build something exactly sure go journey orwhere institute management marketing page
33,skillsmanagementstrategyfinancial modelingajit president managing indiajanuary present year delhi indiahotstarceojanuary december indiastar tv year monthsexecutive vice presidentjune december year vice corporateapril june year wall street india real mckinsey global urban building inclusive sustainingeconomic growthmanagement entertainment practice page arthur practiceeducationthe wharton finance johns hopkins university paul nitze school advancedinternational studies economics international relations technological universitybasc page
34,skillscleaner productionengineeringphysicslanguageshindienglish portfolio managementfoundationsdigital strategyhow design successful lab marketpathways climate case small islanddeveloping grade chemistry grant awardedby dsmmentorsunita kumarideeptech vnci innovation paramount change potential founder deeptech startup across hyderabad work andoffsite driven motivation zeal thrive ping give food blog series significant contributor previous curiouslyinterested working new project impact emergingtechnology production climate service stand cause believe lab landnovember present portfolio management deeptech establishing thought leadership deeptech community cie critical designing programs cohort management startupstargeting multiple building reports online resource grant fund proposal designed conducted various event startup talk seriesand networking handled outreach social medium incubator page loading running full stack resource deeptech startup resilienceunlocked running especially designed forstartups tide slowdown find opportunity indisguise survey report launched cohort calling tech entrepreneurs across indiato give push build product partnership pernodricard india present year innovative air conditioner accessible peoplewith tropical developing country like india foundationoutreach incubation program executivejuly october first innovative disability focussed incubatorroles fundraising grant proposals research analysis potential prototype fit mentoring learning grow generate different channel sale partnerships outreach networking amspystrategy business developerfebruary july business model strategy amspy automotivestartup designing novel steering system industrial page delft international student society content managerapril may designing publishing monthly outreach international student formal informal eventsyara internationalassistant production managerjanuary july uttar pradeshtata yearsassistant production manageraugust july upfounder monthly newsletter april april year started publishing monthly newsletter named continued since year consisting energyconsumption achieved target article humour freelance writerdecember december year plot skit competition aiming create awareness related socialissues sexual harassment workplace cultural alternate theepic graduate engineer traineeaugust july upaiche american institute chemical engineersmemberjanuary april surat page gujarat cleaner production monthsindustrial traineejune july suggesting implementing cleaner technologies cleanerproduction technique chemical june gujarateducationdelft university management technology institute technology suratbachelor technology chemical engineering vidyalaya page
35,skillscjavadata structureslanguagestelugu designsuraj ramadugufull stack engineer mutual mobilehyderabadsummaryi want pursue challenging career involving high quality researchand contribute field science technology upgradingmy technical mobilefull stack engineerjune present year indiaeducationcvr college hyderabadbachelor technology computer science page
